,Name,Keep
0,id,True
1,listing_url,True
2,scrape_id,False
3,last_scraped,False
4,name,False
5,summary,True
6,space,False
7,description,True
8,experiences_offered,False
9,neighborhood_overview,False
10,notes,False
11,transit,False
12,access,False
13,interaction,False
14,house_rules,True
15,thumbnail_url,False
16,medium_url,False
17,picture_url,False
18,xl_picture_url,False
19,host_id,True
20,host_url,False
21,host_name,False
22,host_since,True
23,host_location,True
24,host_about,False
25,host_response_time,True
26,host_response_rate,False
27,host_acceptance_rate,False
28,host_is_superhost,True
29,host_thumbnail_url,False
30,host_picture_url,False
31,host_neighbourhood,True
32,host_listings_count,True
33,host_total_listings_count,True
34,host_verifications,False
35,host_has_profile_pic,True
36,host_identity_verified,False
37,street,False
38,neighbourhood,True
39,neighbourhood_cleansed,False
40,neighbourhood_group_cleansed,False
41,city,False
42,state,False
43,zipcode,False
44,market,False
45,smart_location,False
46,country_code,False
47,country,False
48,latitude,True
49,longitude,True
50,is_location_exact,True
51,property_type,True
52,room_type,True
53,accommodates,True
54,bathrooms,True
55,bedrooms,True
56,beds,True
57,bed_type,True
58,amenities,True
59,square_feet,True
60,price,True
61,weekly_price,True
62,monthly_price,True
63,security_deposit,False
64,cleaning_fee,True
65,guests_included,True
66,extra_people,True
67,minimum_nights,True
68,maximum_nights,True
69,calendar_updated,False
70,has_availability,True
71,availability_30,True
72,availability_60,True
73,availability_90,True
74,availability_365,True
75,calendar_last_scraped,False
76,number_of_reviews,True
77,first_review,True
78,last_review,True
79,review_scores_rating,True
80,review_scores_accuracy,True
81,review_scores_cleanliness,True
82,review_scores_checkin,True
83,review_scores_communication,True
84,review_scores_location,True
85,review_scores_value,True
86,requires_license,False
87,license,False
88,jurisdiction_names,False
89,instant_bookable,True
90,is_business_travel_ready,True
91,cancellation_policy,True
92,require_guest_profile_picture,False
93,require_guest_phone_verification,False
94,calculated_host_listings_count,False
95,reviews_per_month,True
